path,label,subject_id,source_file_id,split
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0001_00.wav,cabbage,,esc_cabbage_s0001_00,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0001_01.wav,cabbage,,esc_cabbage_s0001_01,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0002_00.wav,cabbage,,esc_cabbage_s0002_00,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0002_01.wav,cabbage,,esc_cabbage_s0002_01,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0003_00.wav,cabbage,,esc_cabbage_s0003_00,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0003_01.wav,cabbage,,esc_cabbage_s0003_01,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0004_00.wav,cabbage,,esc_cabbage_s0004_00,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0004_01.wav,cabbage,,esc_cabbage_s0004_01,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0006_00.wav,cabbage,,esc_cabbage_s0006_00,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0006_01.wav,cabbage,,esc_cabbage_s0006_01,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0007_00.wav,cabbage,,esc_cabbage_s0007_00,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0007_01.wav,cabbage,,esc_cabbage_s0007_01,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0008_00.wav,cabbage,,esc_cabbage_s0008_00,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0008_01.wav,cabbage,,esc_cabbage_s0008_01,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0009_00.wav,cabbage,,esc_cabbage_s0009_00,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0009_01.wav,cabbage,,esc_cabbage_s0009_01,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0010_00.wav,cabbage,,esc_cabbage_s0010_00,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0010_01.wav,cabbage,,esc_cabbage_s0010_01,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0011_00.wav,cabbage,,esc_cabbage_s0011_00,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0011_01.wav,cabbage,,esc_cabbage_s0011_01,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0012_00.wav,cabbage,,esc_cabbage_s0012_00,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0012_01.wav,cabbage,,esc_cabbage_s0012_01,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0013_00.wav,cabbage,,esc_cabbage_s0013_00,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0013_01.wav,cabbage,,esc_cabbage_s0013_01,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0015_00.wav,cabbage,,esc_cabbage_s0015_00,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0015_01.wav,cabbage,,esc_cabbage_s0015_01,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0017_00.wav,cabbage,,esc_cabbage_s0017_00,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0017_01.wav,cabbage,,esc_cabbage_s0017_01,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0019_00.wav,cabbage,,esc_cabbage_s0019_00,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0019_01.wav,cabbage,,esc_cabbage_s0019_01,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0020_00.wav,cabbage,,esc_cabbage_s0020_00,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0020_01.wav,cabbage,,esc_cabbage_s0020_01,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0021_00.wav,cabbage,,esc_cabbage_s0021_00,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0021_01.wav,cabbage,,esc_cabbage_s0021_01,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0024_00.wav,cabbage,,esc_cabbage_s0024_00,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0024_01.wav,cabbage,,esc_cabbage_s0024_01,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0026_00.wav,cabbage,,esc_cabbage_s0026_00,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0026_01.wav,cabbage,,esc_cabbage_s0026_01,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0027_00.wav,cabbage,,esc_cabbage_s0027_00,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0027_01.wav,cabbage,,esc_cabbage_s0027_01,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0028_00.wav,cabbage,,esc_cabbage_s0028_00,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0028_01.wav,cabbage,,esc_cabbage_s0028_01,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0029_00.wav,cabbage,,esc_cabbage_s0029_00,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0029_01.wav,cabbage,,esc_cabbage_s0029_01,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0030_00.wav,cabbage,,esc_cabbage_s0030_00,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0030_01.wav,cabbage,,esc_cabbage_s0030_01,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0031_00.wav,cabbage,,esc_cabbage_s0031_00,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0031_01.wav,cabbage,,esc_cabbage_s0031_01,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0033_00.wav,cabbage,,esc_cabbage_s0033_00,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0033_01.wav,cabbage,,esc_cabbage_s0033_01,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0037_00.wav,cabbage,,esc_cabbage_s0037_00,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0037_01.wav,cabbage,,esc_cabbage_s0037_01,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0038_00.wav,cabbage,,esc_cabbage_s0038_00,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0038_01.wav,cabbage,,esc_cabbage_s0038_01,train
AcouDiet/ai/data/raw/public/cabbage/esc_cabbage_s0039_00.wav,cabbage,,esc_cabbage_s0039_00,train
